一种电视机功能的自动测试系统,【授权公告】,同族：1,引证：0,被引：0
一种电视机功能的自动测试系统及其方法,【公开】,同族：2,引证：10,被引：4
一种电视机功能的自动测试系统及其方法,【授权公告】,同族：2,引证：10,被引：4
一种液晶电视机Flash芯片的数据读取、写入和擦除的方法,【公开】,同族：1,引证：6,被引：2
液晶电视机(45),【授权公告】,同族：1,引证：0,被引：0
遥控器(17),【授权公告】,同族：1,引证：0,被引：0
遥控器(18),【授权公告】,同族：1,引证：0,被引：0
一种利用Flash芯片剩余空间设置数据区擦写数据的方法,【公开】,同族：1,引证：8,被引：1
一种固定于桌面且可拆分的电视机底座,【授权公告】,同族：1,引证：0,被引：0
一种电视机的双转轴底座,【公开】,同族：2,引证：12,被引：0
一种电视机的双转轴底座,【授权公告】,同族：2,引证：12,被引：0
一种基于单组红外接收器控制多个系统的装置,【授权公告】,同族：1,引证：0,被引：0
一种基于单组红外接收装置控制多个系统的方法及其装置,【公开】,同族：2,引证：8,被引：0
一种基于单组红外接收装置控制多个系统的方法及其装置,【授权公告】,同族：2,引证：8,被引：0
一种液晶电视机动态背光调节的方法,【公开】,同族：2,引证：10,被引：1
一种液晶电视机动态背光调节的方法,【授权公告】,同族：2,引证：10,被引：1
一种通过电脑实现自动调整电视机Gamma曲线的方法,【公开】,同族：1,引证：6,被引：3
液晶电视机(43),【授权公告】,同族：1,引证：0,被引：0
液晶电视机(44),【授权公告】,同族：1,引证：0,被引：0
一种家用电器的电源开关的结构改良,【授权公告】,同族：1,引证：0,被引：0
一种衬垫于被包装物与包装箱之间的包装缓冲结构,【授权公告】,同族：1,引证：0,被引：0
一种包装缓冲结构,【公开】,同族：1,引证：5,被引：0
